Tavg (°C),RH_avg (%),RR (mm)
24.1,69.0,82.0
22.9,77.0,0.0
23.8,78.0,14.0
24.2,77.0,10.0
23.4,78.0,0.0
24.0,80.0,2.0
22.9,80.0,4.0
23.3,76.0,0.0
23.0,74.0,2.0
22.9,73.0,4.0
22.7,74.0,0.0
23.0,72.0,0.0
23.3,73.0,3.0
23.7,71.0,0.0
24.2,79.0,0.0
23.6,79.0,0.0
22.3,83.0,8.0
23.0,82.0,20.0
22.7,80.0,0.0
24.1,76.0,33.0
23.3,59.0,19.0
24.4,73.0,1.0
24.2,78.0,4.0
24.8,79.0,10.0
24.9,77.0,6.0
23.8,74.0,5.0
24.4,74.0,4.0
25.1,79.0,45.0
23.2,78.0,1.0
22.4,94.0,17.0
23.0,82.0,10.0
22.5,69.0,0.0
22.6,77.0,8.0
23.9,78.0,0.0
23.7,77.0,7.0
23.7,78.0,4.0
23.1,80.0,0.0
22.7,80.0,6.0
23.3,76.0,15.0
23.8,74.0,10.0
24.8,73.0,19.0
25.6,74.0,0.0
23.6,72.0,0.0
23.8,73.0,14.0
22.5,71.0,0.0
23.7,79.0,6.0
23.8,79.0,0.0
24.3,83.0,4.0
23.5,82.0,1.0
23.1,80.0,4.0
23.0,76.0,15.0
24.2,59.0,32.0
23.8,73.0,0.0
23.4,78.0,35.0
22.5,79.0,0.0
22.7,77.0,30.0
23.2,74.0,14.0
23.8,74.0,8.0
24.5,79.0,0.0
24.9,78.0,0.0
24.2,80.0,3.0
24.8,70.0,2.0
25.1,73.0,0.0
23.4,77.0,17.0
24.3,76.0,1.0
24.4,73.0,1.0
23.7,88.0,2.0
24.5,73.0,0.0
23.6,79.0,0.0
23.4,85.0,0.0
23.6,82.0,0.0
23.2,82.0,0.0
23.3,77.0,21.0
23.7,78.0,41.0
23.2,82.0,1.0
23.9,78.0,5.0
24.8,73.0,1.0
23.2,79.0,0.0
23.5,85.0,13.0
23.8,78.0,28.0
23.7,77.0,9.0
23.7,85.0,20.0
23.7,80.0,3.0
23.4,81.0,0.0
23.6,80.0,0.0
23.3,83.0,93.0
23.2,85.0,12.0
23.3,82.0,35.0
23.8,79.0,0.0
24.0,74.0,4.0
23.6,82.0,1.0
23.9,79.0,0.0
24.8,81.0,3.0
24.3,76.0,2.0
23.7,83.0,0.0
23.0,84.0,10.0
23.5,80.0,4.0
23.9,82.0,5.0
23.9,83.0,0.0
23.7,86.0,1.0
24.6,78.0,0.0
23.9,83.0,13.0
23.7,80.0,1.0
23.5,80.0,1.0
23.4,85.0,1.0
22.5,84.0,16.0
23.3,85.0,13.0
23.4,84.0,17.0
22.5,82.0,15.0
23.2,84.0,0.0
22.8,87.0,0.0
23.4,83.0,1.0
23.8,81.0,0.0
24.4,76.0,1.0
23.1,79.0,0.0
24.4,78.0,0.0
22.7,85.0,1.0
24.3,78.0,5.0
23.4,70.0,0.0
23.6,70.0,0.0
23.6,76.0,0.0
22.1,88.0,7.0
22.5,81.0,55.0
23.3,74.0,1.0
23.9,76.0,5.0
22.7,76.0,0.0
24.0,78.0,15.0
22.9,77.0,0.0
22.6,76.0,0.0
22.9,74.0,0.0
24.5,77.0,0.0
24.8,72.0,0.0
24.2,74.0,0.0
24.4,72.0,0.0
24.0,80.0,0.0
25.2,71.0,0.0
24.3,71.0,0.0
22.8,79.0,0.0
24.0,76.0,32.0
23.4,77.0,0.0
23.7,81.0,2.0
23.8,77.0,0.0
