Tanggal,Tavg (°C),RH_avg (%),RR (mm),ss (jam),ff_avg (m/s)
1/1/2000,24.1,69,82,5.4,2
2/1/2000,22.9,77,0,1.2,4
3/1/2000,23.8,78,14,4.1,3
4/1/2000,24.2,77,10,1.3,2
5/1/2000,23.4,78,8888,3.6,4
6/1/2000,24,80,2,4.6,3
7/1/2000,22.9,80,4,3,3
8/1/2000,23.3,76,0,0,2
9/1/2000,23,74,2,4.1,3
10/1/2000,22.9,73,4,4.9,
11/1/2000,22.7,74,8888,0,3
12/1/2000,23,72,8888,4,3
13/01/2000,23.3,73,3,5.3,2
14/01/2000,23.7,71,8888,7.9,2
15/01/2000,24.2,79,0,5.8,3
16/01/2000,23.6,79,0,5.7,2
17/01/2000,22.3,83,8,3.8,2
18/01/2000,23,82,20,2.9,3
19/01/2000,22.7,80,0,0.5,3
20/01/2000,24.1,76,33,1.5,3
21/01/2000,23.3,59,19,3.3,2
22/01/2000,24.4,73,1,1.4,4
23/01/2000,24.2,78,4,1.5,3
24/01/2000,24.8,79,10,0,3
25/01/2000,24.9,77,6,4.9,3
26/01/2000,23.8,74,5,1.3,3
27/01/2000,24.4,74,4,0.4,3
28/01/2000,25.1,79,45,1,2
29/01/2000,23.2,78,1,0,2
30/01/2000,22.4,94,17,1.8,2
31/01/2000,23,82,10,2.4,
1/2/2000,22.5,69,8888,0,2
2/2/2000,22.6,77,8,0,4
3/2/2000,23.9,78,8888,0.7,3
4/2/2000,23.7,77,7,0.5,2
5/2/2000,23.7,78,4,0.6,4
6/2/2000,23.1,80,0,1.8,3
7/2/2000,22.7,80,6,0,3
8/2/2000,23.3,76,15,1.2,2
9/2/2000,23.8,74,10,1.4,3
10/2/2000,24.8,73,19,3.8,
11/2/2000,25.6,74,0,2.6,3
12/2/2000,23.6,72,0,3.4,3
13/02/2000,23.8,73,14,0,2
14/02/2000,22.5,71,0,3.4,2
15/02/2000,23.7,79,6,0,3
16/02/2000,23.8,79,0,5.2,2
17/02/2000,24.3,83,4,5.6,2
18/02/2000,23.5,82,1,0.8,3
19/02/2000,23.1,80,4,4.8,3
20/02/2000,23,76,15,4.3,3
21/02/2000,24.2,59,32,4.7,2
22/02/2000,23.8,73,0,5.7,4
23/02/2000,23.4,78,35,2.2,3
24/02/2000,22.5,79,8888,2.2,3
25/02/2000,22.7,77,30,1.2,3
26/02/2000,23.2,74,14,2.1,3
27/02/2000,23.8,74,8,2.4,3
28/02/2000,24.5,79,0,1.8,2
29/02/2000,24.9,78,0,2.1,2
