Activation,Batch Size,Epochs,Train MSE,Train RMSE,Validation MSE,Validation RMSE,Test MSE,Test RMSE
tanh,4,10,0.005943194963037968,0.07709211998017675,0.007115982938557863,0.08435628570864095,0.008177132345736027,0.09042749773014858
tanh,4,20,0.005782655905932188,0.07604377624718665,0.006853134837001562,0.08278366286291977,0.007876255549490452,0.0887482706845066
tanh,4,50,0.005689225625246763,0.07542695556130291,0.0068023111671209335,0.08247612483089233,0.007909366860985756,0.08893462127307765
tanh,4,100,0.005760119762271643,0.07589545284318187,0.006781609263271093,0.08235052679413225,0.007873625494539738,0.08873345194761521
tanh,16,10,0.005961281713098288,0.07720933695543751,0.007090833969414234,0.08420708978117124,0.00803378876298666,0.08963140500397536
tanh,16,20,0.005817889701575041,0.07627509227510014,0.006932768039405346,0.08326324542921291,0.007934999652206898,0.08907861501060116
tanh,16,50,0.005772625561803579,0.07597779650531844,0.006827527657151222,0.0826288548701434,0.00792273972183466,0.08900977318157069
tanh,16,100,0.005621884949505329,0.07497923012078297,0.0067998794838786125,0.08246138177279479,0.007963534444570541,0.0892386376216633
tanh,32,10,0.005932303611189127,0.07702144903329934,0.007070174906402826,0.08408433211010732,0.008063656277954578,0.08979786343758174
tanh,32,20,0.005888061597943306,0.07673370574879924,0.007007047068327665,0.0837081063477586,0.008026765659451485,0.08959221874388135
tanh,32,50,0.005779776722192764,0.07602484279623842,0.00688845943659544,0.08299674353006532,0.007927882485091686,0.08903865725117201
tanh,32,100,0.005707156378775835,0.07554572376234035,0.006780698429793119,0.08234499638589536,0.00787418894469738,0.08873662684989429
tanh,64,10,0.005952334031462669,0.07715137089814197,0.007055322173982859,0.08399596522442526,0.008126511238515377,0.09014716433984697
tanh,64,20,0.005920787341892719,0.07694665257106847,0.00700898002833128,0.08371965138682363,0.008053694851696491,0.0897423804659565
tanh,64,50,0.005843064282089472,0.07643993905079642,0.006917427759617567,0.08317107525827454,0.007990770041942596,0.08939110717483366
tanh,64,100,0.0057640112936496735,0.07592108596200184,0.006847337819635868,0.08274864240358187,0.007968686521053314,0.08926749980285834
tanh,128,10,0.005975284613668919,0.07729996515955824,0.007133095990866423,0.08445765797644653,0.008159365504980087,0.09032920626785164
tanh,128,20,0.00594063475728035,0.07707551334425447,0.0070560346357524395,0.0840002061649401,0.008064809255301952,0.08980428305655556
tanh,128,50,0.005859015043824911,0.07654420320197285,0.00697422306984663,0.08351181395375525,0.008029875345528126,0.08960957172940916
tanh,128,100,0.005785549059510231,0.07606279681625065,0.006930430885404348,0.08324920951819512,0.007957486435770988,0.08920474446895181
