Activation,Batch Size,Epochs,Train MSE,Train RMSE,Validation MSE,Validation RMSE,Test MSE,Test RMSE
relu,4,10,0.006307430099695921,0.079419330768371,0.007399146910756826,0.0860182940470039,0.008543361909687519,0.09243030839333773
relu,4,20,0.0059148953296244144,0.07690835669564404,0.006956090219318867,0.08340317871231807,0.008161148987710476,0.09033907785510363
relu,4,50,0.005753754638135433,0.07585350775102911,0.006848763208836317,0.08275725472027402,0.008006742224097252,0.08948040134072517
relu,4,100,0.005693268030881882,0.07545374762648892,0.0068941861391067505,0.08303123592423968,0.00788903422653675,0.08882023545643611
relu,16,10,0.006388006266206503,0.07992500401130113,0.007458957377821207,0.08636525561718211,0.008545361459255219,0.09244112428597577
relu,16,20,0.006060976069420576,0.07785227080452166,0.007160502020269632,0.08461974958760887,0.00824973825365305,0.09082806974527781
relu,16,50,0.005785704590380192,0.07606381919401754,0.006914708763360977,0.08315472784731472,0.008006238378584385,0.08947758590051692
relu,16,100,0.005804955027997494,0.07619025546615193,0.006992965005338192,0.08362394995058647,0.008002589456737041,0.08945719343203788
relu,32,10,0.00643804669380188,0.08023743947685444,0.007418481633067131,0.08613060799197421,0.008624819107353687,0.09286990420665721
relu,32,20,0.0061100744642317295,0.07816696530013001,0.00719196954742074,0.08480548064494853,0.008252465166151524,0.0908430799023873
relu,32,50,0.005792800337076187,0.07611044827798735,0.00698484294116497,0.0835753728149924,0.008072709664702415,0.08984825910780028
relu,32,100,0.005833094473928213,0.0763746978647262,0.007000640034675598,0.08366982750475585,0.008077360689640045,0.08987413804671533
relu,64,10,0.006528994534164667,0.08080219386975002,0.0074849603697657585,0.08651566545872348,0.008732900954782963,0.09344999173238573
relu,64,20,0.00627393601462245,0.07920818148791481,0.007416068110615015,0.08611659602315348,0.008429206907749176,0.09181071238014209
relu,64,50,0.006068065296858549,0.0778977874965557,0.007263910956680775,0.08522858063279462,0.008304465562105179,0.09112884045188537
relu,64,100,0.006035991013050079,0.0776916405609386,0.0072447615675628185,0.08511616513661091,0.008250326849520206,0.09083130985249638
relu,128,10,0.006577847991138697,0.08110393326552477,0.007569344714283943,0.08700198109401845,0.008807305246591568,0.0938472442141567
relu,128,20,0.0063067651353776455,0.07941514424451829,0.007432142738252878,0.08620987610623784,0.008514709770679474,0.0922751850211067
relu,128,50,0.006455976981669664,0.08034909446701727,0.007489707320928574,0.0865430951660996,0.008653578348457813,0.09302461152005857
relu,128,100,0.006451289169490337,0.08031991763871735,0.007486694026738405,0.08652568420265977,0.008654680103063583,0.09303053317628349
